coincell_id, coating_id, project, made_by
CAT-NMC-001-C001-CC-01,CAT-NMC-001-C001,LEAP,Hamza          
CAT-NMC-001-C001-CC-02,CAT-NMC-001-C001,LEAP,Hamza
CAT-NMC-001-C001-CC-03,CAT-NMC-001-C001,LEAP,Hamza
CAT-NMC-001-C001-CC-04,CAT-NMC-001-C001,LEAP,Hamza
CAT-NMC-001-C001-CC-05,CAT-NMC-001-C001,LEAP,Hamza
CAT-NMC-001-C001-CC-06,CAT-NMC-001-C001,LEAP,Hamza
CAT-NMC-001-C001-CC-07,CAT-NMC-001-C001,LEAP,Hamza  
CAT-NMC-001-C001-CC-08,CAT-NMC-001-C001,LEAP,Hamza
CAT-NMC-001-C001-CC-09,CAT-NMC-001-C001,LEAP,Hamza
CAT-NMC-001-C001-CC-10,CAT-NMC-001-C001,LEAP,Hamza
