slp_id,coating_id,project,made_by,formation_capacity
CAT-NMC-001-C001-SLP-06,CAT-NMC-001-C001,LEAP,Hamza,112.4
CAT-NMC-001-C001-SLP-07,CAT-NMC-001-C001,LEAP,Eleni,118.9
CAT-NMC-001-C001-SLP-08,CAT-NMC-001-C001,LEAP,Hamza,121.3
CAT-NMC-001-C001-SLP-09,CAT-NMC-001-C001,FAST,Gerard,109.7
CAT-NMC-001-C001-SLP-10,CAT-NMC-001-C001,FAST,Hamza,115.2
CAT-NMC-001-C001-SLP-11,CAT-NMC-001-C001,LEAP,Daniela,124.8
CAT-NMC-001-C001-SLP-12,CAT-NMC-001-C001,LEAP,Hamza,117.6
CAT-NMC-001-C001-SLP-13,CAT-NMC-001-C001,FAST,Max,113.1
CAT-NMC-001-C001-SLP-14,CAT-NMC-001-C001,LEAP,Hamza,120.0
CAT-NMC-001-C001-SLP-15,CAT-NMC-001-C001,FAST,Ryan,108.5
AN-GR-001-C001-SLP-01,AN-GR-001-C001,LEAP,Hamza,95.4
AN-GR-001-C001-SLP-02,AN-GR-001-C001,LEAP,Eleni,98.2
AN-GR-001-C001-SLP-03,AN-GR-001-C001,FAST,Hamza,101.6
AN-GR-001-C001-SLP-04,AN-GR-001-C001,LEAP,Gerard,93.8
AN-GR-001-C001-SLP-05,AN-GR-001-C001,FAST,Daniela,99.0
AN-GR-001-C001-SLP-06,AN-GR-001-C001,LEAP,Hamza,105.3
AN-GR-001-C001-SLP-07,AN-GR-001-C001,FAST,Max,97.7
AN-GR-001-C001-SLP-08,AN-GR-001-C001,LEAP,Hamza,102.9
AN-GR-001-C001-SLP-09,AN-GR-001-C001,FAST,Ryan,96.1
AN-GR-001-C001-SLP-10,AN-GR-001-C001,LEAP,Eleni,100.4
CAT-NMC-001-C001-SLP-16,CAT-NMC-001-C001,FAST,Hamza,114.7
CAT-NMC-001-C001-SLP-17,CAT-NMC-001-C001,LEAP,Gerard,119.5
CAT-NMC-001-C001-SLP-18,CAT-NMC-001-C001,FAST,Max,111.2
CAT-NMC-001-C001-SLP-19,CAT-NMC-001-C001,LEAP,Hamza,122.6
CAT-NMC-001-C001-SLP-20,CAT-NMC-001-C001,FAST,Daniela,116.0
AN-GR-001-C001-SLP-11,AN-GR-001-C001,LEAP,Hamza,94.5
AN-GR-001-C001-SLP-12,AN-GR-001-C001,FAST,Ryan,103.8
AN-GR-001-C001-SLP-13,AN-GR-001-C001,LEAP,Eleni,99.9
AN-GR-001-C001-SLP-14,AN-GR-001-C001,FAST,Gerard,97.3
AN-GR-001-C001-SLP-15,AN-GR-001-C001,LEAP,Hamza,106.1
